,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,290,SMB,"1,835.00",19,1.05,"1,817.10","1,847.90","1,817.10","1,046.00","1,816.00",,290,SMB,-,"1,817.10","1,847.90","1,817.10","1,835.00","1,835.00",0,0,"1,822.83","1,046.00","1,816.00","1,906,677.20",13,19,30.8,1.05,1.7,0.66,"1,840.03","1,898.40","2,517.00","1,699.00",
,,291,SMFBS,"1,539.00",39,2.6,"1,500.00","1,539.00","1,490.00",357,"1,500.00",,291,SMFBS,-,"1,500.00","1,539.00","1,490.00","1,539.00","1,539.00",0,0,"1,499.62",357,"1,500.00","535,365.00",10,39,49,2.6,3.29,2.56,"1,612.80","1,641.12","1,968.00","1,420.00",
,,292,SMH,498,-4.9,-0.97,515,515,497,"13,751.00",502.9,,292,SMH,-,515,515,497,498,498,0,0,507.24,"13,751.00",502.9,"6,975,016.90",80,-4.9,18,-0.97,3.62,-1.85,604.49,654.36,"1,024.80",482.6,
,,293,SMHL,498.9,2.9,0.58,493,498.9,489,"42,099.00",496,,293,SMHL,-,493,498.9,489,498.9,498.9,0,0,492.51,"42,099.00",496,"20,734,113.60",179,2.9,9.9,0.58,2.02,1.28,495.47,560.8,"1,162.10",443,
,,294,SMJC,444,2,0.45,438.1,446.6,438.1,"4,112.00",442,,294,SMJC,-,438.1,446.6,438.1,444,444,0,0,442.24,"4,112.00",442,"1,818,494.90",62,2,8.5,0.45,1.94,0.4,470.26,480.51,653,422.1,
,,295,SMPDA,762,-6.9,-0.9,759,769,750.1,677,768.9,,295,SMPDA,-,759,769,750.1,762,762,0,0,758.5,677,768.9,"513,506.00",25,-6.9,18.9,-0.9,2.52,0.46,843.39,863.59,"1,155.00",730,
,,296,SNLI,428,0,0,428,428,425,"4,394.00",428,,296,SNLI,-,428,428,425,428,428,0,0,426.43,"4,394.00",428,"1,873,753.80",146,0,3,0,0.71,0.37,454.12,464.96,528.3,411.6,
,,297,SNORL,926.1,-11.9,-1.27,925,996,912,"23,492.00",938,,297,SNORL,-,925,996,912,926.1,926.1,0,0,940.25,"23,492.00",938,"22,088,309.30",518,-11.9,84,-1.27,9.21,-1.53,0,0,"1,017.10",298.7,
,,298,SOHL,583.9,12.9,2.26,571,589.4,566.2,"179,906.00",571,,298,SOHL,-,571,589.4,566.2,583.9,583.9,0,0,580.79,"179,906.00",571,"104,488,334.30",939,12.9,23.2,2.26,4.1,0.53,0,0,875.5,300,
,,299,SONA,410,1.2,0.29,405,410,404,"14,952.00",408.8,,299,SONA,-,405,410,404,410,410,0,0,406.89,"14,952.00",408.8,"6,083,886.50",172,1.2,6,0.29,1.49,0.76,437.8,433.96,510,398,
,,300,SOPL,827,2,0.24,783.8,840,783.8,"31,094.00",825,,300,SOPL,-,783.8,840,783.8,827,827,0,0,826.54,"31,094.00",825,"25,700,306.30",960,2,56.2,0.24,7.17,0.06,0,0,"1,217.00",276.5,
,,301,SPC,421,6,1.45,412,422,407,"8,408.00",415,,301,SPC,-,412,422,407,421,421,0,0,416.71,"8,408.00",415,"3,503,706.80",65,6,15,1.45,3.69,1.02,469.8,480.12,577,400,
,,302,SPDL,372.1,-2.8,-0.75,370.1,374,365.2,"34,892.00",374.9,,302,SPDL,-,370.1,374,365.2,372.1,372.1,0,0,369.27,"34,892.00",374.9,"12,884,400.60",98,-2.8,8.8,-0.75,2.41,0.76,402.22,404.86,474,353.1,
,,303,SPHL,539.6,3.6,0.67,520,565,515,"5,770.00",536,,303,SPHL,-,520,565,515,539.6,539.6,0,0,534.68,"5,770.00",536,"3,085,077.00",55,3.6,50,0.67,9.71,0.91,553.07,549.98,714,477.1,
,,304,SPIL,705.9,5.9,0.84,690,707,685.3,597,700,,304,SPIL,-,690,707,685.3,705.9,705.9,0,0,690.13,597,700,"412,009.90",26,5.9,21.7,0.84,3.17,2.23,713.32,712.29,859,625,
,,305,SPL,663.4,-0.6,-0.09,651,663.8,651,"1,940.00",664,,305,SPL,-,651,663.8,651,663.4,663.4,0,0,654.91,"1,940.00",664,"1,270,527.00",19,-0.6,12.8,-0.09,1.97,1.28,720.47,777.01,"1,019.00",618,
,,306,SRLI,379.4,-2.1,-0.55,381.5,381.5,376.1,"4,482.00",381.5,,306,SRLI,-,381.5,381.5,376.1,379.4,379.4,0,0,378.77,"4,482.00",381.5,"1,697,624.80",103,-2.1,5.4,-0.55,1.44,0.17,393.17,394.95,437.7,363.9,
,,307,SSHL,205,2,0.99,203.5,206,202.3,"93,044.00",203,,307,SSHL,-,203.5,206,202.3,205,205,0,0,204.31,"93,044.00",203,"19,010,077.10",271,2,3.7,0.99,1.83,0.34,210.75,195.48,296.6,151,
,,308,STC,"5,150.00",-39,-0.75,"5,200.00","5,200.00","5,150.00",289,"5,189.00",,308,STC,-,"5,200.00","5,200.00","5,150.00","5,150.00","5,150.00",0,0,"5,174.90",289,"5,189.00","1,495,546.00",12,-39,50,-0.75,0.97,-0.48,"5,613.95","5,542.55","6,335.90","4,832.00",
,,309,SWASTIK,"2,020.00",8.9,0.44,"2,023.00","2,026.00","2,005.00",170,"2,011.10",,309,SWASTIK,-,"2,023.00","2,026.00","2,005.00","2,020.00","2,020.00",0,0,"2,017.94",170,"2,011.10","343,050.00",11,8.9,21,0.44,1.05,0.1,"2,495.63",0,"3,400.00",391.7,
,,310,SWBBL,681.9,8.9,1.32,683,684,673,"3,994.00",673,,310,SWBBL,-,683,684,673,681.9,681.9,0,0,678.61,"3,994.00",673,"2,710,374.30",38,8.9,11,1.32,1.63,0.48,731.56,746.44,"1,016.00",630.5,
,,311,SWMF,617,-10,-1.59,616,629,615.4,"3,215.00",627,,311,SWMF,-,616,629,615.4,617,617,0,0,616.8,"3,215.00",627,"1,983,001.70",33,-10,13.6,-1.59,2.21,0.03,663.59,671.17,828,591,
,,312,SYPNL,"1,350.00",19,1.43,"1,264.50","1,355.00","1,264.50","44,453.00","1,331.00",,312,SYPNL,-,"1,264.50","1,355.00","1,264.50","1,350.00","1,350.00",0,0,"1,333.64","44,453.00","1,331.00","59,284,285.20",527,19,90.5,1.43,7.16,1.21,"1,617.68",0,"2,255.90",319.8,
,,313,TAMOR,449.3,-1.7,-0.38,448.1,453,445,"27,003.00",451,,313,TAMOR,-,448.1,453,445,449.3,449.3,0,0,449.4,"27,003.00",451,"12,135,028.30",143,-1.7,8,-0.38,1.8,-0.02,444.83,451.11,538,396.4,
,,314,TPC,358.5,0.6,0.17,363.8,363.8,353.2,"5,940.00",357.9,,314,TPC,-,363.8,363.8,353.2,358.5,358.5,0,0,356.32,"5,940.00",357.9,"2,116,565.60",45,0.6,10.6,0.17,3,0.61,378.29,368.87,450,270.1,
